Date,TSLA,VGT,VOO,VTI
2014-06-02 00:00:00-04:00,13.646666526794434,84.84249114990234,148.0091094970703,83.58811950683594
2014-06-03 00:00:00-04:00,13.662667274475098,84.77001190185547,147.9170684814453,83.5545883178711
2014-06-04 00:00:00-04:00,13.599332809448242,85.01460266113281,148.18499755859375,83.73065948486328
2014-06-05 00:00:00-04:00,13.793333053588867,85.78466796875,149.18959045410156,84.40974426269531
2014-06-06 00:00:00-04:00,13.878000259399414,86.23761749267578,149.90121459960938,84.84571075439453
2014-06-09 00:00:00-04:00,13.687333106994629,86.50942993164062,150.05189514160156,84.98823547363281
2014-06-10 00:00:00-04:00,13.486666679382324,86.67249298095703,150.08534240722656,84.97149658203125
2014-06-11 00:00:00-04:00,13.631333351135254,86.5819091796875,149.599853515625,84.68644714355469
2014-06-12 00:00:00-04:00,13.567999839782715,85.83900451660156,148.48634338378906,84.08277130126953
2014-06-13 00:00:00-04:00,13.761333465576172,86.3825912475586,148.9551544189453,84.35945129394531
2014-06-16 00:00:00-04:00,14.973999977111816,86.5003662109375,149.08071899414062,84.426513671875
2014-06-17 00:00:00-04:00,15.444666862487793,86.82652282714844,149.47425842285156,84.72834777832031
2014-06-18 00:00:00-04:00,15.141332626342773,87.23418426513672,150.58766174316406,85.35712432861328
2014-06-19 00:00:00-04:00,15.185999870300293,87.0077133178711,150.7719268798828,85.45775604248047
2014-06-20 00:00:00-04:00,15.305999755859375,86.85368347167969,151.07327270507812,85.65897369384766
2014-06-23 00:00:00-04:00,15.814666748046875,87.08019256591797,151.0051727294922,85.6338119506836
2014-06-24 00:00:00-04:00,15.5,86.55472564697266,150.1137237548828,85.03610229492188
2014-06-25 00:00:00-04:00,15.792667388916016,87.07112121582031,150.75286865234375,85.46541595458984
2014-06-26 00:00:00-04:00,15.706666946411133,86.92617797851562,150.67721557617188,85.4149398803711
2014-06-27 00:00:00-04:00,15.937333106994629,87.41537475585938,150.9378662109375,85.64222717285156
2014-06-30 00:00:00-04:00,16.003999710083008,87.6871566772461,150.89578247070312,85.67591094970703
2014-07-01 00:00:00-04:00,15.981332778930664,88.64747619628906,151.95547485351562,86.29047393798828
2014-07-02 00:00:00-04:00,15.295332908630371,88.5931167602539,152.06480407714844,86.23995208740234
2014-07-03 00:00:00-04:00,15.283332824707031,89.00081634521484,152.83009338378906,86.69457244873047
2014-07-07 00:00:00-04:00,14.843999862670898,88.81961059570312,152.33389282226562,86.23995208740234
2014-07-08 00:00:00-04:00,14.604666709899902,87.76869201660156,151.34994506835938,85.58329010009766
2014-07-09 00:00:00-04:00,14.870667457580566,88.14920043945312,151.9806671142578,85.9537124633789
2014-07-10 00:00:00-04:00,14.630666732788086,87.83210754394531,151.400390625,85.57490539550781
2014-07-11 00:00:00-04:00,14.541999816894531,88.12203979492188,151.60223388671875,85.6506576538086
2014-07-14 00:00:00-04:00,15.113332748413086,88.80150604248047,152.35069274902344,86.06317901611328
2014-07-15 00:00:00-04:00,14.638667106628418,88.53878784179688,152.08999633789062,85.84427642822266
2014-07-16 00:00:00-04:00,14.477333068847656,89.20010375976562,152.67031860351562,86.06317901611328
2014-07-17 00:00:00-04:00,14.359999656677246,88.04954528808594,150.87901306152344,85.06976318359375
2014-07-18 00:00:00-04:00,14.668000221252441,89.23633575439453,152.46844482421875,85.98739624023438
2014-07-21 00:00:00-04:00,14.702667236328125,89.19104766845703,152.14048767089844,85.78535461425781
2014-07-22 00:00:00-04:00,14.638667106628418,89.9792251586914,152.8216094970703,86.2231216430664
2014-07-23 00:00:00-04:00,14.832667350769043,90.03357696533203,153.18325805664062,86.42517852783203
2014-07-24 00:00:00-04:00,14.902667045593262,90.11511993408203,153.18325805664062,86.44200134277344
2014-07-25 00:00:00-04:00,14.904666900634766,89.81615447998047,152.45164489746094,85.98739624023438
2014-07-28 00:00:00-04:00,14.98799991607666,89.93392944335938,152.5189208984375,85.96214294433594
2014-07-29 00:00:00-04:00,15.000666618347168,89.58965301513672,151.87136840820312,85.6506576538086
2014-07-30 00:00:00-04:00,15.261333465576172,89.97016143798828,151.87136840820312,85.70958709716797
2014-07-31 00:00:00-04:00,14.886667251586914,88.14012908935547,148.81863403320312,83.9669418334961
2014-08-01 00:00:00-04:00,15.5513334274292,87.75965881347656,148.45700073242188,83.75647735595703
2014-08-04 00:00:00-04:00,15.90133285522461,88.36663818359375,149.49984741210938,84.32894134521484
2014-08-05 00:00:00-04:00,15.899333000183105,87.71434783935547,147.9860382080078,83.58810424804688
2014-08-06 00:00:00-04:00,16.595333099365234,87.56939697265625,148.07855224609375,83.60492706298828
2014-08-07 00:00:00-04:00,16.826000213623047,87.24325561523438,147.2796630859375,83.16719055175781
2014-08-08 00:00:00-04:00,16.54199981689453,87.82306671142578,148.98681640625,84.12689208984375
2014-08-11 00:00:00-04:00,17.288000106811523,88.41193389892578,149.40731811523438,84.42996215820312
2014-08-12 00:00:00-04:00,17.33066749572754,88.21263122558594,149.23074340820312,84.27843475341797
2014-08-13 00:00:00-04:00,17.354000091552734,89.17292022705078,150.28195190429688,84.87615203857422
2014-08-14 00:00:00-04:00,17.42533302307129,89.29976654052734,150.9378662109375,85.2465591430664
2014-08-15 00:00:00-04:00,17.46733283996582,89.39940643310547,150.89578247070312,85.2550048828125
2014-08-18 00:00:00-04:00,17.32933235168457,90.3144302368164,152.1488800048828,86.02108001708984
2014-08-19 00:00:00-04:00,17.117332458496094,91.00294494628906,152.95620727539062,86.45043182373047
