,cat_investment,cat_size,net_assets,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,label
1689,0,1,291200000.0,99.86,0.0,24.29,9.31,3.3,15.38,3.09,25.62,14.55,2.01,5.28,17.25,0.0,1.52,0.02,5.6,25.06,0
1690,-1,1,98190000.0,99.35,0.0,12.31,1.5,1.19,3.31,3.18,6.19,24.34,1.89,11.0,10.54,16.95,5.19,7.33,8.72,4.67,0
1691,0,0,554040000.0,99.88,0.0,30.2,7.64,3.88,18.97,0.0,23.05,8.4,0.92,0.0,13.54,0.0,0.0,0.0,10.92,43.17,0
1692,-1,0,50470000.0,99.59,0.0,16.53,1.52,1.36,7.96,5.3,8.3,11.03,25.08,4.81,2.14,20.06,3.18,3.41,9.24,7.45,0
1693,0,0,76630000.0,99.64,0.0,22.58,3.89,3.98,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,0.0,0.0,97.52,0
1694,1,1,15490000.0,99.85,0.0,9.05,1.14,0.58,3.8,52.42,1.88,0.0,2.35,0.0,0.0,1.17,1.77,1.58,38.84,0.0,1
1695,0,-1,87430000.0,99.78,0.0,20.16,4.03,1.43,9.91,4.52,13.91,4.79,0.06,3.28,25.89,0.02,1.9,1.4,11.5,32.74,0
1696,-1,-1,77100000.0,99.85,0.0,12.8,0.97,0.61,3.97,2.21,11.57,20.89,22.78,3.78,3.93,5.41,3.46,4.43,13.11,8.43,-1
1697,0,1,14110000.0,99.63,0.0,13.88,1.82,1.46,6.0,9.36,15.0,18.93,3.78,13.84,11.64,1.64,3.16,0.75,11.0,10.91,0
1698,-1,0,13910000.0,99.57,0.0,11.34,2.0,1.16,6.46,5.81,19.53,35.44,0.52,1.59,3.48,0.0,2.08,2.46,16.74,12.37,-1
1699,-1,0,62200000.0,99.54,0.0,13.47,1.99,1.03,4.97,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,-1
1701,0,0,166240000.0,99.53,0.0,20.02,2.65,1.77,3.21,5.99,3.59,0.0,1.72,0.0,5.9,3.02,0.0,0.0,49.07,30.71,0
1702,-1,-1,16860000.0,99.14,0.0,11.5,1.01,0.64,3.88,5.01,10.37,32.2,12.15,3.79,7.69,0.73,0.48,6.27,12.89,8.4,1
1704,-1,-1,201380000.0,99.98,0.0,11.67,1.19,3.76,7.96,0.0,0.0,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-1
1705,1,1,982130000.0,17.91,38.82,13.43,1.53,1.09,6.09,6.15,13.42,16.83,7.33,6.43,8.06,2.42,3.3,6.05,12.69,17.33,0
