,cat_investment,cat_size,net_assets,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,label
1838,-1,1,9030000000.0,99.96,0.0,14.4,3.79,1.47,9.88,0.85,10.46,9.35,0.0,23.62,10.13,0.0,4.7,6.74,17.59,16.56,0
1839,1,1,5820000000.0,99.61,0.0,11.73,1.54,1.25,4.57,8.32,11.43,26.27,3.64,6.26,2.33,2.94,5.17,9.04,4.9,19.71,0
1840,1,1,17110000000.0,99.61,0.0,13.2,1.39,1.05,6.32,7.88,10.98,20.21,3.44,11.02,10.07,3.51,3.67,6.87,13.28,9.06,0
1841,0,1,7140000000.0,99.92,0.0,20.71,3.94,2.48,12.6,1.85,17.13,11.94,3.2,3.25,14.41,0.74,2.97,1.82,11.01,31.68,0
1842,1,0,5320000000.0,100.0,0.0,41.79,2.26,6.87,16.51,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1843,1,1,759560000.0,99.81,0.0,17.04,2.87,1.97,8.62,2.6,12.13,15.2,3.54,7.24,13.93,3.27,3.45,5.11,10.46,23.07,0
1844,1,0,5870000000.0,99.96,0.04,17.08,2.23,1.48,8.74,4.77,16.14,12.71,11.9,2.9,9.24,3.7,0.76,3.17,15.81,18.9,0
1848,-1,1,5810000000.0,99.9,0.0,13.95,2.18,1.59,6.2,3.41,5.9,19.15,3.2,12.53,13.66,6.31,4.3,9.53,9.63,12.38,0
1849,1,1,15520000000.0,99.92,0.0,16.98,2.89,1.98,8.58,2.55,12.11,15.16,3.2,7.4,14.08,3.23,3.57,5.27,10.39,23.05,0
1851,1,1,4830000.0,99.9,0.0,14.1,1.48,0.92,7.26,9.26,12.27,18.45,7.66,11.05,6.67,6.65,3.19,6.02,13.22,5.56,0
1852,1,-1,191840000.0,49.44,0.0,10.17,1.05,0.59,3.61,14.49,16.75,17.97,3.86,6.21,8.11,2.43,0.24,0.69,14.89,14.36,1
1853,1,1,2730000.0,99.83,0.0,14.19,1.06,0.61,5.8,9.76,15.94,5.76,5.45,12.94,9.18,7.05,0.97,3.3,20.38,9.27,0
1854,1,-1,14450000.0,99.36,0.64,10.02,0.97,0.68,3.71,11.26,10.7,23.94,1.66,6.69,5.91,5.56,1.26,0.75,16.68,15.59,1
1855,1,1,98280000.0,99.85,0.0,17.04,2.38,1.59,7.97,2.65,13.2,14.53,4.67,8.85,11.22,10.63,1.42,7.31,11.96,13.57,0
1856,1,1,2470000.0,99.95,0.0,16.32,1.33,1.73,11.29,8.94,8.29,8.71,25.62,6.98,4.7,12.57,3.21,2.46,14.7,3.82,0
1857,1,0,253640000.0,98.77,0.0,14.25,1.07,0.64,6.73,9.29,17.57,7.27,11.3,9.56,6.67,1.2,0.28,0.48,22.25,14.13,0
1860,1,1,3590000.0,99.81,0.0,17.39,2.51,1.8,7.3,16.39,2.13,2.21,0.0,0.0,0.0,26.37,0.0,17.2,20.98,14.72,0
1861,1,0,9480000000.0,98.63,0.0,14.58,1.38,0.88,6.99,8.89,13.78,11.61,11.82,7.63,7.51,2.23,1.61,2.08,20.56,12.28,0
1863,-1,1,21190000.0,99.81,0.0,7.39,1.05,0.7,2.97,14.78,0.0,18.78,26.84,1.83,0.0,4.61,1.8,12.43,1.77,17.15,0
1865,-1,-1,924550000.0,99.88,0.0,10.19,1.08,1.03,4.26,7.99,11.18,13.6,40.47,0.98,0.0,5.06,5.91,2.96,9.97,1.88,0
1866,-1,1,1910000000.0,99.65,0.0,10.51,1.71,0.9,3.08,3.9,17.69,11.76,0.0,12.26,9.93,9.94,6.04,10.42,9.88,8.18,0
1870,-1,0,3990000.0,99.61,0.0,12.94,1.85,1.13,6.68,7.02,20.47,30.86,0.0,0.0,1.01,0.0,0.0,3.04,26.47,11.13,-1
1871,-1,1,18350000000.0,99.85,0.0,16.99,2.7,1.37,8.55,7.49,11.77,15.38,6.77,15.62,5.9,7.74,2.94,4.42,18.44,3.53,0
1874,1,1,433490000.0,99.72,0.0,14.18,2.21,1.79,8.04,2.18,6.05,30.85,1.51,10.72,23.06,0.99,0.33,0.84,3.5,19.98,0
1879,1,-1,53810000.0,99.95,0.0,18.75,0.78,0.85,4.39,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1880,0,0,147780000.0,99.87,0.0,26.03,1.46,2.41,7.09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1885,1,1,262790000.0,99.93,0.0,16.74,3.53,1.97,5.53,3.03,12.85,19.83,2.83,12.99,18.93,3.13,0.82,5.63,11.93,8.02,0
1893,1,0,364330000.0,99.75,0.0,18.87,1.55,2.07,9.28,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1894,0,-1,51070000.0,99.27,0.0,24.05,1.18,1.64,6.83,98.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,-1
1896,1,0,1890000.0,46.0,0.0,15.9,1.76,1.09,7.57,4.93,14.31,12.39,11.12,4.97,9.17,4.92,1.54,5.32,15.3,16.02,-1
1897,1,1,497400000.0,99.69,0.0,16.22,2.37,1.45,7.68,4.1,15.37,14.14,6.57,6.05,10.7,5.26,2.01,5.18,14.45,16.16,0
1899,0,0,3200000000.0,0.05,96.52,0.0,0.0,0.0,0.0,0.0,30.14,0.0,0.0,0.0,0.0,0.0,25.98,31.59,12.29,0.0,0
1902,0,1,2120000000.0,99.46,0.0,21.28,4.36,3.73,13.8,0.0,9.79,0.0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,85.36,0
1903,1,1,244490000.0,99.96,0.0,15.79,2.08,1.34,12.55,16.35,8.6,13.89,0.0,3.04,2.66,6.94,5.77,7.66,24.93,10.17,-1
1904,0,0,13650000.0,99.71,0.0,20.96,4.63,2.92,17.0,0.0,4.0,0.0,0.0,5.66,90.35,0.0,0.0,0.0,0.0,0.0,0
1908,0,0,60050000.0,99.79,0.0,24.1,1.22,2.34,9.52,97.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0
1909,-1,1,63990000.0,100.0,0.0,8.86,1.14,0.64,4.31,87.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,6.99,0.0,0
1910,1,-1,1260000000.0,99.92,0.0,15.84,1.71,0.92,7.03,6.77,13.59,15.87,9.33,3.59,9.96,2.06,1.55,3.9,16.97,16.41,-1
1911,0,-1,1950000000.0,99.88,0.0,18.42,2.42,1.71,9.2,4.81,12.99,13.82,9.26,3.36,15.89,1.91,2.19,2.87,15.48,17.42,-1
1912,-1,-1,2030000000.0,99.85,0.0,13.85,1.33,0.62,5.63,8.74,14.2,17.92,9.41,3.83,3.95,2.23,0.89,4.97,18.46,15.4,-1
1914,1,-1,23460000.0,99.27,0.0,14.89,1.67,0.97,6.61,6.32,13.36,15.21,8.92,4.44,12.81,3.89,1.38,2.77,13.95,16.96,-1
1916,1,-1,561140000.0,99.78,0.0,19.41,2.16,1.67,6.18,8.35,3.28,15.86,6.85,11.53,5.23,26.0,0.0,0.0,21.31,1.58,0
1917,1,0,19620000.0,98.66,0.0,14.16,1.68,0.92,6.54,5.59,10.63,16.72,3.98,10.49,11.45,5.32,5.92,3.3,16.39,10.21,0
1920,0,0,280380000.0,99.82,0.0,17.23,1.78,1.16,6.94,12.2,18.08,24.81,2.78,4.17,8.8,5.57,0.96,0.5,11.78,10.36,1
1921,1,-1,216330000.0,99.63,0.0,15.54,1.82,1.05,7.63,5.45,12.36,15.69,7.21,4.28,16.64,2.81,2.07,1.84,10.56,21.08,-1
1922,0,-1,3100000.0,93.1,0.0,15.71,1.8,1.02,6.98,5.16,12.75,16.18,8.71,3.5,14.47,3.71,1.36,3.11,14.0,17.04,-1
1923,1,-1,260840000.0,99.8,0.0,17.86,1.62,1.53,7.52,3.74,11.22,20.65,25.59,3.01,6.16,3.96,1.15,2.28,11.05,11.19,0
1924,1,0,35300000.0,99.77,0.0,17.2,2.07,1.28,7.76,4.94,13.8,13.74,11.14,3.22,12.22,3.5,0.88,3.09,14.85,18.62,0
1926,1,-1,111160000.0,99.69,0.0,20.85,2.05,1.69,9.14,4.16,14.85,10.5,23.82,8.97,8.16,7.0,1.7,0.58,11.56,8.72,0
1929,0,0,77800000.0,99.77,0.0,18.93,3.14,2.41,3.63,0.0,0.6,0.0,0.0,0.0,7.89,0.0,3.19,0.0,18.59,69.73,-1
1930,0,1,137500000.0,99.92,0.0,25.06,3.24,4.09,15.98,0.0,0.47,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,96.05,0
1931,1,0,11100000.0,99.98,0.0,14.98,1.47,0.83,6.99,87.17,0.0,0.0,0.0,5.24,0.0,0.0,0.0,3.0,4.59,0.0,0
1933,0,1,584430000.0,83.04,0.0,15.77,3.79,3.59,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0
1935,0,1,1030000000.0,99.93,0.0,15.11,3.73,3.49,8.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0
1939,-1,1,32400000.0,99.73,0.0,11.67,1.74,0.85,2.93,3.55,17.14,10.34,9.32,9.79,8.49,9.32,5.01,9.22,9.45,8.35,0
1940,1,1,4700000000.0,99.56,0.01,13.28,1.37,1.03,6.2,8.04,11.04,19.11,4.32,10.77,10.05,3.2,3.68,6.44,13.53,9.81,0
1941,1,1,2790000000.0,98.68,0.0,11.61,1.49,1.12,4.61,7.82,11.35,26.17,3.85,6.7,2.64,2.59,4.79,8.25,6.17,19.66,0
1942,-1,1,186440000.0,14.87,0.0,11.35,0.82,2.31,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1943,0,1,322280000.0,99.89,0.0,16.83,2.6,1.93,8.71,3.69,6.89,14.77,0.0,0.63,12.18,0.0,0.85,7.24,13.36,40.39,0
1944,-1,1,3110000000.0,100.0,0.0,13.46,1.81,1.54,7.16,4.22,7.87,14.14,17.59,11.46,1.32,15.94,4.38,14.89,6.0,2.2,0
1945,0,1,1410000000.0,99.78,0.0,19.79,4.91,2.78,7.37,1.3,12.42,12.42,0.78,11.34,11.28,0.0,0.0,7.25,9.74,33.47,0
1948,1,1,2160000000.0,99.78,0.0,17.25,3.05,2.01,9.8,2.44,12.86,14.02,3.32,7.5,14.07,3.14,2.75,5.27,11.43,23.21,0
1949,-1,1,10150000000.0,99.92,0.0,20.83,2.53,2.65,11.73,2.2,4.87,19.01,18.37,9.02,5.7,24.8,3.03,0.93,8.21,3.87,0
1950,1,0,1380000000.0,99.85,0.0,16.25,1.85,1.08,8.0,6.26,14.07,15.97,9.65,3.49,9.22,3.43,0.87,4.28,15.99,16.77,0
1951,0,1,62840000.0,99.77,0.0,24.56,4.94,2.92,14.21,0.8,19.17,6.34,5.55,7.06,27.79,11.61,1.67,1.63,5.17,13.2,0
1952,1,1,1420000.0,99.72,0.0,18.14,3.0,2.31,11.6,1.59,14.9,10.83,3.86,12.63,12.11,8.1,4.51,1.61,13.1,16.77,0
1954,1,-1,1220000000.0,99.82,0.0,15.68,1.73,1.0,6.83,6.55,13.26,14.67,10.06,3.74,12.55,2.77,1.44,3.62,13.56,17.78,0
1956,1,1,3090000000.0,99.29,0.0,17.11,2.87,1.86,9.52,2.81,12.87,14.13,3.93,7.17,13.96,3.07,2.61,5.13,11.69,22.62,0
1958,1,1,9600000.0,96.42,0.0,17.02,2.96,2.02,8.79,2.46,11.91,13.89,2.47,7.66,14.35,3.28,3.54,5.44,11.98,23.02,0
1959,-1,1,2690000.0,99.94,0.0,11.78,1.56,0.7,6.4,2.65,12.52,26.17,2.31,10.25,10.53,5.75,3.14,12.91,7.45,6.31,1
1960,-1,1,23460000.0,99.48,0.0,9.76,1.23,0.63,3.23,2.9,10.4,37.39,0.0,8.65,6.89,1.85,13.01,8.66,5.71,4.55,0
1961,1,1,6260000.0,100.0,0.0,16.98,3.1,2.13,9.06,2.59,12.66,16.25,2.64,8.21,15.31,3.52,3.76,0.0,10.81,24.24,0
1962,1,1,992180000.0,78.59,0.0,17.02,2.96,2.02,8.79,2.46,11.91,13.89,2.47,7.66,14.35,3.28,3.54,5.44,11.98,23.02,1
1963,0,1,2060000.0,100.0,0.0,17.94,3.71,1.96,9.6,2.8,14.22,3.21,0.0,9.21,17.19,3.95,3.68,6.43,12.06,27.24,0
1965,1,1,3210000.0,100.0,0.0,16.52,2.59,1.79,8.14,3.12,15.13,16.09,3.17,9.86,18.38,4.23,4.52,6.89,11.73,6.88,0
1967,1,1,1470000.0,100.0,0.0,17.25,2.86,2.09,8.32,2.88,13.88,18.0,2.92,9.09,0.0,3.91,4.18,6.36,11.99,26.8,0
1968,1,1,264060000000.0,99.54,0.0,17.05,2.97,2.02,8.8,2.46,11.9,13.75,2.5,7.76,14.49,3.33,3.56,5.43,11.88,22.93,0
1969,-1,1,22550000.0,99.84,0.0,13.01,2.22,1.2,7.13,1.02,16.69,24.34,0.95,5.09,9.47,1.93,1.09,7.92,12.04,19.44,0
1970,-1,1,1420000000.0,99.85,0.0,13.34,1.71,1.1,7.21,2.42,15.49,9.2,19.15,10.71,2.28,12.72,3.4,11.48,4.85,8.31,0
1971,0,1,4530000000.0,99.82,0.0,21.74,4.75,3.47,13.4,1.9,14.62,8.71,2.47,5.67,17.33,1.85,3.6,3.59,11.68,28.58,0
1972,-1,1,2520000000.0,99.82,0.0,13.67,2.11,1.37,6.33,3.09,8.8,19.53,2.5,10.16,11.24,5.01,3.52,7.51,12.15,16.48,0
1973,1,1,333190000.0,99.92,0.0,16.93,3.1,2.03,9.02,2.64,12.75,14.72,2.67,8.33,15.52,0.9,3.81,1.42,12.68,24.56,0
1974,1,-1,8050000.0,99.62,0.0,12.73,1.61,0.59,3.53,10.19,14.71,18.38,1.88,3.83,15.89,1.32,2.96,3.2,14.66,12.99,-1
1976,-1,0,180720000.0,99.96,0.0,11.9,1.13,4.36,6.24,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1982,0,1,620010000.0,99.55,0.0,13.95,2.05,2.16,7.49,19.76,13.59,23.41,2.89,6.19,2.81,0.0,4.29,3.97,1.28,21.8,0
1983,0,1,1800000000.0,99.35,0.0,13.94,2.14,2.18,8.31,7.99,8.64,28.46,3.67,7.85,3.57,0.0,5.45,5.05,1.62,27.69,0
1987,-1,-1,77030000.0,98.27,0.0,10.95,0.75,6.13,19.68,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1989,0,1,7270000000.0,97.68,0.0,13.96,2.25,2.05,6.94,21.2,14.58,20.06,2.78,6.59,2.76,0.0,3.95,4.92,1.06,22.11,0
1990,-1,0,1530000000.0,95.58,0.0,10.75,1.77,1.12,7.4,32.25,13.86,25.35,0.0,7.96,2.21,0.0,13.46,2.4,2.51,0.0,0
1991,1,0,772260000.0,98.64,0.0,10.67,1.66,1.48,5.39,0.0,0.0,87.2,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1992,0,1,1760000000.0,99.12,0.0,17.58,2.83,1.92,10.51,0.0,33.01,3.69,0.0,15.85,5.89,0.0,8.44,0.0,3.21,29.91,0
1993,1,1,910420000.0,98.41,0.0,12.5,1.59,0.87,4.55,29.56,13.92,22.22,4.79,5.24,1.5,0.0,7.42,9.99,1.8,3.57,-1
1994,-1,1,282020000.0,97.89,0.0,10.96,1.74,1.65,5.9,80.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.74,0.0,0.0,-1
1995,0,1,445740000.0,98.91,0.0,13.86,2.34,1.98,7.29,8.95,8.67,24.69,3.64,8.61,3.6,0.0,5.17,6.42,1.38,28.89,0
1997,1,1,940550000.0,99.77,0.0,18.38,3.73,1.77,5.07,5.29,8.6,11.08,3.78,8.75,13.42,3.64,2.01,3.69,10.56,29.18,0
2001,1,1,40100000.0,99.06,0.0,14.07,2.4,1.3,7.33,0.47,10.49,13.47,5.8,10.78,15.24,6.91,2.61,4.15,7.55,22.52,0
2002,0,1,32460000.0,99.08,0.0,15.27,4.29,1.34,8.93,1.67,19.89,6.53,1.21,5.69,19.28,3.08,0.0,0.0,9.48,33.17,0
2003,-1,0,109950000.0,98.34,0.0,11.48,1.67,0.77,5.6,6.78,25.52,29.79,0.33,3.08,2.31,0.0,0.0,3.81,15.32,13.05,-1
2004,-1,1,33020000.0,98.99,0.0,12.37,1.87,1.15,6.27,2.11,4.01,17.65,7.3,10.42,17.51,8.39,3.47,9.63,9.16,10.37,0
2009,0,-1,296050000.0,99.99,0.0,16.96,1.4,1.23,5.14,0.0,3.56,0.0,4.69,0.0,0.0,24.09,0.0,0.0,0.0,67.66,-1
2010,-1,1,55450000.0,99.74,0.0,7.43,0.72,1.19,2.71,0.0,0.47,0.0,99.28,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1
2013,1,0,4300000.0,99.97,0.0,16.74,2.47,1.28,9.22,8.81,0.93,0.0,0.0,0.0,0.0,40.16,0.0,0.0,48.67,1.42,0
2017,1,1,38930000.0,86.72,11.83,14.81,1.77,1.34,7.2,5.5,11.15,16.27,11.03,8.34,9.99,3.0,3.38,5.27,10.49,15.58,0
2018,-1,1,945550000.0,99.72,0.0,14.09,3.33,2.06,7.67,0.0,0.03,0.0,0.0,0.0,0.0,0.0,19.69,0.0,0.35,79.93,0
2021,0,1,679490000.0,78.81,0.0,19.32,6.41,3.97,12.49,0.0,0.0,12.74,0.0,0.0,0.0,0.0,0.0,0.0,4.62,82.64,1
2023,1,1,46130000.0,100.0,0.0,13.04,1.45,1.13,3.71,8.52,11.21,23.86,0.86,13.03,13.7,4.35,4.28,5.63,8.07,6.48,0
2025,1,1,6200000.0,99.7,0.0,14.43,1.79,2.69,4.27,0.0,0.0,99.48,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,-1
2030,1,1,4790000.0,99.12,0.0,14.63,2.1,1.56,4.91,10.39,7.18,17.03,6.38,7.83,4.8,5.91,7.88,21.2,9.99,1.42,0
2031,1,1,433680000.0,98.99,0.0,15.04,1.78,1.19,7.04,10.06,7.57,18.33,6.18,11.66,4.79,3.36,5.54,19.68,11.03,1.8,0
2032,1,1,1440000000.0,98.77,0.0,15.65,2.25,1.37,7.04,3.73,12.94,17.01,4.83,6.27,12.19,3.15,3.15,5.5,11.63,19.59,0
2036,-1,1,8140000.0,98.77,0.0,11.37,1.12,0.72,5.14,9.85,14.56,20.52,6.13,7.76,6.4,2.74,2.68,6.79,15.9,6.68,0
2037,-1,1,5770000.0,98.14,0.0,7.91,0.98,0.65,3.26,11.15,10.96,22.54,6.97,4.33,1.73,4.64,3.36,5.77,8.53,20.01,0
2040,-1,1,1010000000.0,98.75,0.0,11.37,1.12,0.72,5.14,9.89,14.57,20.46,6.1,7.75,6.4,2.72,2.68,6.79,15.93,6.71,0
2041,-1,1,576900000.0,99.05,0.0,7.92,0.98,0.65,3.26,11.17,11.01,22.49,7.02,4.34,1.74,4.64,3.32,5.73,8.52,20.03,0
2043,0,1,173870000.0,99.82,0.0,19.51,4.45,2.53,12.7,1.0,18.71,17.54,1.13,1.44,12.59,0.0,3.08,0.42,6.46,37.64,0
2045,0,-1,846990000.0,66.35,0.0,15.71,1.8,1.02,6.98,5.16,12.75,16.18,8.71,3.5,14.47,3.71,1.36,3.11,14.0,17.04,-1
2046,1,1,11640000.0,69.81,30.19,14.46,1.7,1.64,6.16,3.61,9.3,17.83,16.35,8.99,11.87,2.13,5.12,5.16,9.67,9.97,0
2047,1,1,138580000.0,99.27,0.0,15.76,2.27,1.66,8.12,4.38,11.3,17.69,2.96,8.96,13.18,3.48,3.52,6.45,10.44,17.64,0
2048,1,1,99230000.0,98.0,0.0,20.06,2.15,1.79,8.58,0.06,0.53,0.0,4.21,0.0,0.0,33.22,9.98,35.87,15.86,0.27,0
2050,1,1,6680000.0,53.93,0.0,13.37,2.7,0.97,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-1
2051,-1,1,345520000.0,99.74,0.0,18.06,1.78,1.11,6.47,0.0,0.0,0.0,0.0,0.0,0.0,15.36,0.0,84.62,0.01,0.0,1
2053,1,1,195360000.0,99.74,0.0,21.44,1.47,5.33,13.73,0.0,0.31,0.0,99.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2054,1,1,140570000.0,100.0,0.0,13.22,1.68,1.47,4.75,1.05,10.64,28.03,3.2,6.21,17.47,1.23,6.92,3.55,9.35,12.35,0
2055,0,1,129730000.0,99.23,0.0,19.64,4.04,2.25,11.4,1.65,15.66,14.15,0.95,9.04,13.06,2.96,1.0,3.84,18.3,19.37,0
2056,0,1,11780000.0,99.42,0.0,16.8,2.57,1.76,6.03,8.58,14.81,9.39,3.92,11.84,11.9,2.45,0.04,6.81,14.26,16.0,0
2058,1,0,403380000.0,98.86,0.0,7.03,0.93,0.58,1.65,15.82,5.22,29.28,1.29,12.79,0.75,1.47,6.51,7.63,17.01,2.23,-1
2059,1,0,16700000.0,99.46,0.0,14.48,1.78,1.01,5.63,6.02,18.06,13.25,5.46,6.71,10.81,2.78,3.13,6.71,13.27,13.8,0
2069,-1,0,50830000.0,98.18,0.0,10.59,1.03,2.46,1.65,0.0,1.46,49.27,15.15,1.28,3.67,0.58,14.55,4.41,9.64,0.0,0
2073,0,0,30720000.0,39.06,0.0,13.87,3.96,4.19,12.7,0.02,0.0,0.0,0.0,0.0,99.98,0.0,0.0,0.0,0.0,0.0,-1
2076,0,1,22220000.0,45.36,0.0,21.02,4.23,1.24,10.28,0.06,72.59,0.0,0.0,13.61,0.76,0.0,8.49,0.0,4.2,0.29,1
2081,1,1,3150000.0,99.19,0.0,16.62,2.46,1.49,7.34,5.36,13.02,9.12,4.67,11.72,9.65,6.34,2.37,8.16,13.15,16.44,1
2085,-1,1,173560000.0,99.7,0.0,7.85,0.85,0.6,2.63,12.39,10.48,21.39,6.42,6.98,4.43,3.34,9.32,3.91,12.05,9.29,0
2089,-1,1,6460000.0,40.23,0.0,16.04,3.33,1.52,12.16,0.0,25.81,0.23,0.0,68.84,0.0,0.0,0.0,0.0,1.4,3.72,1
2094,-1,1,310990000.0,99.52,0.0,11.64,1.0,0.67,5.01,7.34,13.56,17.76,10.89,9.98,6.72,3.31,4.85,4.94,16.45,4.21,0
2100,-1,1,421710000.0,99.89,0.0,13.17,1.9,1.0,6.42,4.2,14.47,14.18,8.68,7.57,14.2,6.01,3.29,3.73,14.14,9.53,0
2106,-1,1,15780000.0,42.49,0.0,19.07,2.06,2.34,8.56,0.57,0.0,0.0,0.0,0.0,0.0,98.83,0.0,0.6,0.0,0.0,1
2107,1,0,242470000.0,100.0,0.0,15.21,1.26,0.68,3.02,61.97,0.0,4.87,0.0,0.0,0.0,0.53,0.0,0.0,32.63,0.0,0
2108,1,0,141130000.0,48.5,0.0,34.45,2.41,5.0,8.07,2.09,0.0,0.0,87.39,0.0,0.0,0.0,9.62,0.0,0.89,0.0,1
2110,1,1,603650000.0,99.42,0.0,15.47,2.1,1.53,7.61,4.42,11.72,17.19,3.12,8.92,12.77,3.36,3.7,6.06,11.15,17.59,0
2112,-1,0,18700000.0,98.36,0.0,17.51,1.85,0.84,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1
2114,0,1,55250000.0,37.18,0.0,14.77,3.79,3.56,7.9,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,99.23,1
2116,-1,1,30820000.0,99.87,0.0,13.06,2.15,1.18,6.13,3.11,10.32,21.99,3.17,14.12,11.53,1.68,2.6,7.86,13.36,10.25,0
2118,1,0,48000000.0,99.8,0.0,15.53,2.17,1.36,7.66,4.69,16.13,15.8,8.99,6.54,8.41,3.82,1.52,4.88,17.34,11.9,0
2120,-1,1,839930000.0,0.06,97.56,9.66,0.48,1.69,0.47,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2123,1,0,162540000.0,99.69,0.0,16.61,2.03,1.51,7.68,4.27,14.97,17.5,15.81,9.19,7.25,6.54,2.51,3.85,7.77,10.32,0
2125,1,1,1610000000.0,99.7,0.0,17.21,3.41,2.79,10.95,1.64,12.35,13.26,0.0,13.07,20.27,0.0,6.27,3.9,9.81,19.41,0
2126,-1,0,114480000.0,100.0,0.0,14.47,2.42,1.28,7.75,1.8,17.03,14.12,3.01,8.9,14.3,3.1,5.06,5.36,12.87,14.45,0
2127,1,1,24930000000.0,99.37,0.0,18.94,3.09,2.31,10.96,2.36,9.79,13.27,9.52,13.39,14.74,8.43,3.75,1.94,13.15,9.66,0
2132,1,0,1210000000.0,99.36,0.0,39.07,2.26,5.4,7.44,0.0,0.0,0.0,98.89,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0
2136,1,-1,97040000.0,99.86,0.0,14.54,1.43,0.85,5.68,3.85,10.57,10.48,21.59,3.59,15.76,3.35,1.57,3.58,12.41,13.25,0
2137,-1,0,14960000.0,95.87,0.0,19.59,1.84,2.58,8.82,0.0,0.0,0.0,4.64,0.0,0.0,95.36,0.0,0.0,0.0,0.0,0
2138,-1,1,6970000.0,61.69,0.0,18.83,2.06,2.39,8.53,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1
2143,1,1,20080000.0,44.46,0.0,17.56,3.84,1.72,6.74,2.98,3.51,4.43,0.0,0.0,0.31,0.0,0.0,0.04,77.23,11.5,0
2144,1,1,749690000.0,59.26,0.0,14.52,1.61,2.67,6.24,0.47,0.0,77.5,19.62,0.0,0.0,0.0,2.16,0.0,0.25,0.0,0
2145,1,1,43280000.0,48.24,0.0,15.56,2.06,1.45,9.42,98.21,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.89,0.0,0
2146,-1,1,14900000.0,99.66,0.0,11.49,2.28,1.16,8.64,2.89,12.94,8.13,10.42,12.47,14.05,8.74,3.44,3.85,7.46,15.62,0
2147,-1,0,23930000.0,98.25,0.0,10.21,1.17,0.51,3.14,15.92,22.47,15.66,1.04,1.14,5.8,0.0,4.84,10.38,7.45,15.31,-1
2148,-1,0,20680000.0,90.67,0.0,12.07,1.39,0.66,2.8,4.84,25.52,31.21,0.0,2.26,7.16,0.0,1.27,7.91,10.58,9.26,-1
2149,1,1,334050000.0,100.0,0.0,10.29,1.26,1.2,6.03,9.39,7.08,29.95,9.28,6.13,5.27,3.38,2.02,2.84,9.53,15.15,0
2150,1,1,2460000000.0,99.95,0.0,15.17,2.15,1.3,8.58,84.59,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.95,0.0,0
2151,1,0,90080000000.0,97.53,0.0,16.76,1.95,1.24,7.36,5.4,12.5,13.5,12.08,3.55,11.65,3.14,1.04,3.71,15.65,17.78,0
2152,0,0,24020000000.0,97.97,0.0,24.13,2.84,2.32,8.24,3.69,11.61,5.33,11.21,3.21,19.14,0.7,1.52,3.19,13.9,26.49,0
2154,-1,0,29800000000.0,98.75,0.0,13.42,1.53,0.87,6.5,6.95,13.31,20.85,12.93,3.87,4.87,5.34,0.6,4.17,17.21,9.9,0
2157,0,1,3060000000.0,98.59,0.0,20.35,4.72,1.29,10.72,0.12,93.38,0.0,0.01,5.02,0.0,0.0,0.0,0.0,0.53,0.94,0
2159,-1,1,5250000000.0,99.6,0.0,17.51,3.7,1.19,13.67,0.21,0.55,0.0,0.0,98.75,0.0,0.0,0.0,0.0,0.28,0.21,0
